bioguide_id,first_name,last_name,last_name_upper,full_name,state,party,type,term_start,term_end,state_rank
C001066,Kathy,Castor,CASTOR,Kathy Castor,FL,Democrat,rep,2015-01-06,2017-01-03,
C001066,Kathy,Castor,CASTOR,Kathy Castor,FL,Democrat,rep,2017-01-03,2019-01-03,
C001066,Kathy,Castor,CASTOR,Kathy Castor,FL,Democrat,rep,2019-01-03,2021-01-03,
C001066,Kathy,Castor,CASTOR,Kathy Castor,FL,Democrat,rep,2021-01-03,2023-01-03,
C001066,Kathy,Castor,CASTOR,Kathy Castor,FL,Democrat,rep,2023-01-03,2025-01-03,
C001066,Kathy,Castor,CASTOR,Kathy Castor,FL,Democrat,rep,2025-01-03,2027-01-03,
C001080,Judy,Chu,CHU,Judy Chu,CA,Democrat,rep,2013-01-03,2015-01-03,
C001080,Judy,Chu,CHU,Judy Chu,CA,Democrat,rep,2015-01-06,2017-01-03,
C001080,Judy,Chu,CHU,Judy Chu,CA,Democrat,rep,2017-01-03,2019-01-03,
C001080,Judy,Chu,CHU,Judy Chu,CA,Democrat,rep,2019-01-03,2021-01-03,
C001080,Judy,Chu,CHU,Judy Chu,CA,Democrat,rep,2021-01-03,2023-01-03,
C001080,Judy,Chu,CHU,Judy Chu,CA,Democrat,rep,2023-01-03,2025-01-03,
C001080,Judy,Chu,CHU,Judy Chu,CA,Democrat,rep,2025-01-03,2027-01-03,
C001067,Yvette,Clarke,CLARKE,Yvette D. Clarke,NY,Democrat,rep,2013-01-03,2015-01-03,
C001067,Yvette,Clarke,CLARKE,Yvette D. Clarke,NY,Democrat,rep,2015-01-06,2017-01-03,
C001067,Yvette,Clarke,CLARKE,Yvette D. Clarke,NY,Democrat,rep,2017-01-03,2019-01-03,
C001067,Yvette,Clarke,CLARKE,Yvette D. Clarke,NY,Democrat,rep,2019-01-03,2021-01-03,
C001067,Yvette,Clarke,CLARKE,Yvette D. Clarke,NY,Democrat,rep,2021-01-03,2023-01-03,
C001067,Yvette,Clarke,CLARKE,Yvette D. Clarke,NY,Democrat,rep,2023-01-03,2025-01-03,
C001067,Yvette,Clarke,CLARKE,Yvette D. Clarke,NY,Democrat,rep,2025-01-03,2027-01-03,
C001061,Emanuel,Cleaver,CLEAVER,Emanuel Cleaver,MO,Democrat,rep,2013-01-03,2015-01-03,
C001061,Emanuel,Cleaver,CLEAVER,Emanuel Cleaver,MO,Democrat,rep,2015-01-06,2017-01-03,
C001061,Emanuel,Cleaver,CLEAVER,Emanuel Cleaver,MO,Democrat,rep,2017-01-03,2019-01-03,
C001061,Emanuel,Cleaver,CLEAVER,Emanuel Cleaver,MO,Democrat,rep,2019-01-03,2021-01-03,
C001061,Emanuel,Cleaver,CLEAVER,Emanuel Cleaver,MO,Democrat,rep,2021-01-03,2023-01-03,
C001061,Emanuel,Cleaver,CLEAVER,Emanuel Cleaver,MO,Democrat,rep,2023-01-03,2025-01-03,
C001061,Emanuel,Cleaver,CLEAVER,Emanuel Cleaver,MO,Democrat,rep,2025-01-03,2027-01-03,
C000537,James,Clyburn,CLYBURN,James E. Clyburn,SC,Democrat,rep,2013-01-03,2015-01-03,
C000537,James,Clyburn,CLYBURN,James E. Clyburn,SC,Democrat,rep,2015-01-06,2017-01-03,
C000537,James,Clyburn,CLYBURN,James E. Clyburn,SC,Democrat,rep,2017-01-03,2019-01-03,
C000537,James,Clyburn,CLYBURN,James E. Clyburn,SC,Democrat,rep,2019-01-03,2021-01-03,
C000537,James,Clyburn,CLYBURN,James E. Clyburn,SC,Democrat,rep,2021-01-03,2023-01-03,
C000537,James,Clyburn,CLYBURN,James E. Clyburn,SC,Democrat,rep,2023-01-03,2025-01-03,
C000537,James,Clyburn,CLYBURN,James E. Clyburn,SC,Democrat,rep,2025-01-03,2027-01-03,
C001068,Steve,Cohen,COHEN,Steve Cohen,TN,Democrat,rep,2013-01-03,2015-01-03,
C001068,Steve,Cohen,COHEN,Steve Cohen,TN,Democrat,rep,2015-01-06,2017-01-03,
C001068,Steve,Cohen,COHEN,Steve Cohen,TN,Democrat,rep,2017-01-03,2019-01-03,
C001068,Steve,Cohen,COHEN,Steve Cohen,TN,Democrat,rep,2019-01-03,2021-01-03,
